Nombre,Edad,País,Email
Luis,50,Perú,juan@hotmail.com
Pedro,25,Perú,pedro@hotmail.com
Luis,23,Argentina,maria@gmail.com
Luis,20,Estados Unidos,luis@gmail.com
Valentina,56,Argentina,ana@hotmail.com
Laura,31,Brasil,luis@gmail.com
Sofía,30,España,ana@gmail.com
Valentina,47,Chile,pedro@gmail.com
Luis,22,Estados Unidos,maria@hotmail.com
María,22,Estados Unidos,ana@hotmail.com
Sofía,19,España,ana@gmail.com
Juan,19,Estados Unidos,juan@hotmail.com
Pedro,36,Chile,juan@hotmail.com
Carlos,23,Venezuela,ana@gmail.com
Diego,59,Perú,maria@hotmail.com
Laura,56,Canadá,maria@gmail.com
María,23,Brasil,juan@gmail.com
Luis,42,España,ana@hotmail.com
Ana,25,Argentina,juan@hotmail.com
Laura,19,Argentina,luis@gmail.com
